Woche;Tag;Uhrzeit;Plattform;Saeule;Format;Hook;CTA;Status
1;Mo;19:30;Instagram;Persoenlich;Reel;Warum ich diesen Account starte - und was ich anders mache;Folgen fuer Optionen auf Deutsch;offen
1;Di;12:00;Instagram;Broker;Carousel;Was du bei Trade Republic NICHT kannst;Speichern;offen
1;Mi;19:30;Instagram;Optionen;Reel;Optionen in 60 Sekunden erklaert;Teilen an den der sagt das sei Zockerei;offen
1;Do;12:00;Instagram;Optionen;Carousel;Cash Secured Put - du wirst bezahlt fuers Warten;Speichern;offen
1;Fr;19:30;Instagram;SPX;Reel;Warum der S&P bei runden Zahlen dreht;Kommentiere GAMMA;offen
1;So;19:00;Instagram;News;Carousel;Die Woche voraus - Earnings Makro Gamma;Speichern;offen
1;taeglich;15:30;Instagram;SPX;Story;US-Open Level des Tages;-;offen
1;taeglich;-;X;alle;Replies;10 substanzielle Replies in Fintwit;-;offen
2;Mo;19:30;Instagram;Optionen;Reel;Delta 0.30 heisst 30 Prozent Wahrscheinlichkeit;Speichern;offen
2;Di;12:00;Instagram;Broker;Carousel;Die 5 Broker fuer Optionen in Deutschland;Speichern;offen
2;Mi;19:30;Instagram;Persoenlich;Reel;Mein groesster Trading-Fehler;Kommentieren;offen
2;Do;12:00;Instagram;Earnings;Carousel;So liest du ab was der Markt einpreist;Speichern;offen
2;Fr;19:30;Instagram;Mythos;Reel;Optionen sind nicht riskant - deine Positionsgroesse ist es;Teilen;offen
2;So;19:00;Instagram;News;Carousel;Die Woche voraus;Speichern;offen
3;Mo;19:30;Instagram;SPX;Reel;Was 0DTE wirklich bedeutet;Kommentieren;offen
3;Di;12:00;Instagram;Optionen;Carousel;5 Fehler die Options-Anfaenger ihr Depot kosten;Speichern;offen
3;Mi;19:30;Instagram;Broker;Reel;IBKR Kontoeroeffnung Schritt fuer Schritt;Kommentiere START;offen
3;Do;12:00;Instagram;Earnings;Carousel;IV Crush - richtig liegen und trotzdem verlieren;Speichern;offen
3;Fr;19:30;Instagram;Swing;Reel;Setup der Woche - Regeln und Risiko;Auflösung Freitag;offen
3;So;19:00;Instagram;News;Carousel;Die Woche voraus;Speichern;offen
4;Mo;19:30;Instagram;Mythos;Reel;Der MSCI World ist nicht so diversifiziert wie du denkst;Teilen;offen
4;Di;12:00;Instagram;Optionen;Carousel;Covered Call - Miete auf deine Aktien;Speichern;offen
4;Mi;19:30;Instagram;SPX;Reel;Warum grosse Bewegungen in den letzten 30 Minuten kommen;Speichern;offen
4;Do;12:00;Instagram;Transparenz;Carousel;Das glaeserne Depot - die Regeln;Folgen fuer den Monatsbericht;offen
4;Fr;19:30;Instagram;Swing;Reel;Aufloesung Setup der Woche - auch wenn es schiefging;Kommentieren;offen
4;So;19:00;Instagram;News;Carousel;Die Woche voraus + Monatsrueckblick;Speichern;offen
